ISIN,US105756CE88,,
Coupon,3.75,,
Maturity,10 years,,
Start,2021,End,2022
,,,
time,date,close,
1625122800,01/07/2021,98.842003,
1627887600,02/08/2021,98.892998,
1630479600,01/09/2021,95.478996,
1633071600,01/10/2021,92.334999,
1635753600,01/11/2021,91.606003,
1638345600,01/12/2021,94.049004,
1641196800,03/01/2022,91.25,
1643702400,01/02/2022,90.25,
1646121600,01/03/2022,90.574997,
1648796400,01/04/2022,87.036003,
1651474800,02/05/2022,88.082001,
1654066800,01/06/2022,81.792999,
1656658800,01/07/2022,87.694,
1659337200,01/08/2022,85.398003,
1662015600,01/09/2022,80.622002,
1664780400,03/10/2022,82.397003,
1667289600,01/11/2022,85.319,
1669881600,01/12/2022,84.231003,
1672646400,02/01/2023,85.813004,
1675238400,01/02/2023,84.122002,
1677657600,01/03/2023,86.349998,
1680505200,03/04/2023,86.195999,
1683010800,02/05/2023,86.335999,
1685602800,01/06/2023,85.997002,
1688367600,03/07/2023,87.050003,
1690873200,01/08/2023,86.130997,
1693551600,01/09/2023,84.269997,
1696230000,02/10/2023,83.158997,
1698825600,01/11/2023,87.647003,
1701417600,01/12/2023,88.554001,
1704182400,02/01/2024,87.793999,
1706774400,01/02/2024,87.291,
