ISIN,US105756CC23,,
Coupon,3.875,,
Maturity,10 years,,
Start,2020,End,2030
,,,
time,date,close,
1591858800,11/06/2020,98.976997,
1591945200,12/06/2020,95.842003,
1592204400,15/06/2020,96.185997,
1592290800,16/06/2020,96.431,
1592377200,17/06/2020,97.281998,
1592463600,18/06/2020,96.862999,
1592550000,19/06/2020,96.331001,
1592809200,22/06/2020,96.672997,
1592895600,23/06/2020,96.627998,
1592982000,24/06/2020,97.095001,
1593068400,25/06/2020,96.616997,
1593154800,26/06/2020,96.778999,
1593414000,29/06/2020,96.475998,
1593500400,30/06/2020,96.468002,
1593586800,01/07/2020,96.787003,
1593673200,02/07/2020,97.837997,
1593759600,03/07/2020,97.807999,
1594018800,06/07/2020,98.053001,
1594105200,07/07/2020,97.559998,
1594191600,08/07/2020,97.268997,
1594278000,09/07/2020,97.517998,
1594364400,10/07/2020,97.350998,
1594623600,13/07/2020,97.567001,
1594710000,14/07/2020,97.623001,
1594796400,15/07/2020,97.389,
1594882800,16/07/2020,97.925003,
1594969200,17/07/2020,98.438004,
1595228400,20/07/2020,98.651001,
1595314800,21/07/2020,99.264,
1595401200,22/07/2020,99.872002,
1595487600,23/07/2020,100.569,
1595574000,24/07/2020,99.734001,
1595833200,27/07/2020,99.980003,
1595919600,28/07/2020,100.421,
1596006000,29/07/2020,100.885,
1596092400,30/07/2020,101.353,
1596178800,31/07/2020,101.705,
1596438000,03/08/2020,102.098,
1596524400,04/08/2020,102.264,
1596610800,05/08/2020,102.393,
1596697200,06/08/2020,103.011,
1596783600,07/08/2020,103.093,
1597042800,10/08/2020,103.775,
1597129200,11/08/2020,104.297,
1597215600,12/08/2020,103.284,
1597302000,13/08/2020,102.984,
1597388400,14/08/2020,102.088,
1597647600,17/08/2020,101.939,
1597734000,18/08/2020,102.193,
1597820400,19/08/2020,101.693,
1597906800,20/08/2020,100.858,
1597993200,21/08/2020,101.983,
1598252400,24/08/2020,102.022,
1598338800,25/08/2020,102.043,
1598425200,26/08/2020,102.037,
1598511600,27/08/2020,101.732,
1598598000,28/08/2020,101.609,
1598857200,31/08/2020,102.18,
1598943600,01/09/2020,102.552,
1599030000,02/09/2020,103.468,
1599116400,03/09/2020,103.895,
1599202800,04/09/2020,103.212,
1599462000,07/09/2020,102.954,
1599548400,08/09/2020,102.905,
1599634800,09/09/2020,102.768,
1599721200,10/09/2020,103.697,
1599807600,11/09/2020,103.587,
1600066800,14/09/2020,103.403,
1600153200,15/09/2020,103.831,
1600239600,16/09/2020,104.212,
1600326000,17/09/2020,104.113,
1600412400,18/09/2020,103.848,
1600671600,21/09/2020,102.783,
1600758000,22/09/2020,102.371,
1600844400,23/09/2020,101.39,
1600930800,24/09/2020,99.584,
1601017200,25/09/2020,99.946999,
1601276400,28/09/2020,100.213,
1601362800,29/09/2020,99.926003,
1601449200,30/09/2020,99.526001,
1601535600,01/10/2020,100.498,
1601622000,02/10/2020,100.509,
1601881200,05/10/2020,100.981,
1601967600,06/10/2020,101.292,
1602054000,07/10/2020,101.907,
1602140400,08/10/2020,102.775,
1602226800,09/10/2020,102.839,
1602486000,12/10/2020,103.019,
1602572400,13/10/2020,103.063,
1602658800,14/10/2020,103.03,
1602745200,15/10/2020,102.865,
1602831600,16/10/2020,102.86,
1603090800,19/10/2020,102.859,
1603177200,20/10/2020,102.54,
1603263600,21/10/2020,102.717,
1603350000,22/10/2020,102.585,
1603436400,23/10/2020,102.187,
1603699200,26/10/2020,101.976,
1603785600,27/10/2020,102.216,
1603872000,28/10/2020,102.372,
1603958400,29/10/2020,101.899,
1604044800,30/10/2020,101.606,
1604304000,02/11/2020,101.543,
1604390400,03/11/2020,101.755,
1604476800,04/11/2020,102.902,
1604649600,06/11/2020,104.489,
1604908800,09/11/2020,104.405,
1604995200,10/11/2020,104.362,
1605081600,11/11/2020,104.58,
1605168000,12/11/2020,104.759,
1605254400,13/11/2020,104.498,
1605513600,16/11/2020,104.4,
1605600000,17/11/2020,104.357,
1605686400,18/11/2020,104.433,
