ISIN,US105756CA66,,
Coupon,4.5,,
Maturity,10 years,,
Start,2019,End,2029
,,,
time,date,close,
1553760000,28/03/2019,98.385002,
1553846400,29/03/2019,98.202003,
1554102000,01/04/2019,98.325996,
1554188400,02/04/2019,97.980003,
1554274800,03/04/2019,97.742996,
1554361200,04/04/2019,97.717003,
1554447600,05/04/2019,97.524002,
1554706800,08/04/2019,97.665001,
1554793200,09/04/2019,97.516998,
1554879600,10/04/2019,97.599998,
1554966000,11/04/2019,97.623001,
1555052400,12/04/2019,97.248001,
1555311600,15/04/2019,96.748001,
1555398000,16/04/2019,96.777,
1555484400,17/04/2019,96.857002,
1555570800,18/04/2019,96.998001,
1556002800,23/04/2019,96.918999,
1556089200,24/04/2019,97.373001,
1556175600,25/04/2019,97.042999,
1556262000,26/04/2019,97.300003,
1556521200,29/04/2019,97.517998,
1556607600,30/04/2019,97.428001,
1556780400,02/05/2019,97.445,
1556866800,03/05/2019,97.115997,
1557126000,06/05/2019,97.489998,
1557212400,07/05/2019,97.654999,
1557298800,08/05/2019,97.566002,
1557385200,09/05/2019,97.834,
1557471600,10/05/2019,97.876999,
1557730800,13/05/2019,97.891998,
1557817200,14/05/2019,97.734001,
1557903600,15/05/2019,97.832001,
1557990000,16/05/2019,97.863998,
1558076400,17/05/2019,97.501999,
1558335600,20/05/2019,97.336998,
1558422000,21/05/2019,97.434998,
1558508400,22/05/2019,97.739998,
1558594800,23/05/2019,98.025002,
1558681200,24/05/2019,98.195999,
1558940400,27/05/2019,98.166,
1559026800,28/05/2019,98.170998,
1559113200,29/05/2019,98.361,
1559199600,30/05/2019,98.432999,
1559286000,31/05/2019,98.598,
1559545200,03/06/2019,98.996002,
1559631600,04/06/2019,99.726997,
1559718000,05/06/2019,100.437,
1559804400,06/06/2019,100.605,
1559890800,07/06/2019,100.729,
1560150000,10/06/2019,101.244,
1560236400,11/06/2019,101.194,
1560322800,12/06/2019,101.462,
1560409200,13/06/2019,101.526,
1560495600,14/06/2019,101.648,
1560754800,17/06/2019,101.448,
1560841200,18/06/2019,101.822,
1560927600,19/06/2019,101.967,
1561014000,20/06/2019,102.681,
1561100400,21/06/2019,103.505,
1561359600,24/06/2019,103.122,
1561446000,25/06/2019,103.044,
1561532400,26/06/2019,102.762,
1561618800,27/06/2019,102.319,
1561705200,28/06/2019,102.679,
1561964400,01/07/2019,102.838,
1562050800,02/07/2019,103.112,
1562137200,03/07/2019,103.141,
1562223600,04/07/2019,103.246,
1562310000,05/07/2019,103.301,
1562569200,08/07/2019,102.993,
1562655600,09/07/2019,103.095,
1562742000,10/07/2019,103.435,
1562828400,11/07/2019,104.29,
1562914800,12/07/2019,103.959,
1563174000,15/07/2019,104.136,
1563346800,17/07/2019,103.749,
1563433200,18/07/2019,103.869,
1563519600,19/07/2019,104.05,
1563778800,22/07/2019,103.976,
1563865200,23/07/2019,104.093,
1563951600,24/07/2019,104.403,
1564038000,25/07/2019,104.719,
1564124400,26/07/2019,104.548,
1564383600,29/07/2019,104.559,
1564470000,30/07/2019,104.53,
