ISIN,US105756CD06,,
Coupon,2.875,,
Maturity,5 Years,,
Start,2020,End,2025
,,,
time,date,close,
1591858800,11/06/2020,99.425003,
1591945200,12/06/2020,98.292,
1592204400,15/06/2020,98.793999,
1592290800,16/06/2020,98.933998,
1592377200,17/06/2020,99.463997,
1592463600,18/06/2020,99.143997,
1592550000,19/06/2020,98.790001,
1592809200,22/06/2020,98.941002,
1592895600,23/06/2020,98.922997,
1592982000,24/06/2020,99.042,
1593068400,25/06/2020,98.819,
1593154800,26/06/2020,98.877998,
1593414000,29/06/2020,98.728996,
1593500400,30/06/2020,98.733002,
1593586800,01/07/2020,98.846001,
1593673200,02/07/2020,99.431999,
1593759600,03/07/2020,99.471001,
1594018800,06/07/2020,99.737999,
1594105200,07/07/2020,99.556,
1594191600,08/07/2020,99.472,
1594278000,09/07/2020,99.494003,
1594364400,10/07/2020,99.373001,
1594623600,13/07/2020,99.481003,
1594710000,14/07/2020,99.469002,
1594796400,15/07/2020,99.382004,
1594882800,16/07/2020,99.684998,
1594969200,17/07/2020,99.906998,
1595228400,20/07/2020,100.085,
1595314800,21/07/2020,100.386,
1595401200,22/07/2020,100.788,
1595487600,23/07/2020,101.011,
1595574000,24/07/2020,100.31,
1595833200,27/07/2020,100.36,
1595919600,28/07/2020,100.512,
1596006000,29/07/2020,100.745,
1596092400,30/07/2020,101.008,
1596178800,31/07/2020,101.12,
1596438000,03/08/2020,101.469,
1596524400,04/08/2020,101.567,
1596610800,05/08/2020,101.592,
1596697200,06/08/2020,101.882,
1596783600,07/08/2020,101.847,
1597042800,10/08/2020,101.98,
1597129200,11/08/2020,102.1,
1597215600,12/08/2020,101.597,
1597302000,13/08/2020,101.567,
1597388400,14/08/2020,101.123,
1597647600,17/08/2020,101.191,
1597734000,18/08/2020,101.184,
1597820400,19/08/2020,101.035,
1597906800,20/08/2020,100.611,
1597993200,21/08/2020,101.134,
1598252400,24/08/2020,101.146,
1598338800,25/08/2020,101.199,
1598425200,26/08/2020,101.073,
1598511600,27/08/2020,100.951,
1598598000,28/08/2020,101.089,
1598857200,31/08/2020,101.242,
1598943600,01/09/2020,101.455,
1599030000,02/09/2020,102.067,
1599116400,03/09/2020,102.317,
1599202800,04/09/2020,102.153,
1599462000,07/09/2020,102.152,
1599548400,08/09/2020,102.104,
1599634800,09/09/2020,101.926,
1599721200,10/09/2020,102.453,
1599807600,11/09/2020,102.449,
1600066800,14/09/2020,102.406,
1600153200,15/09/2020,102.502,
1600239600,16/09/2020,102.543,
1600326000,17/09/2020,102.455,
1600412400,18/09/2020,102.365,
1600671600,21/09/2020,101.85,
1600758000,22/09/2020,101.651,
1600844400,23/09/2020,101.356,
1600930800,24/09/2020,100.484,
1601017200,25/09/2020,100.74,
1601276400,28/09/2020,101.007,
1601362800,29/09/2020,100.934,
1601449200,30/09/2020,100.738,
1601535600,01/10/2020,101.066,
1601622000,02/10/2020,101.028,
1601881200,05/10/2020,101.195,
1601967600,06/10/2020,101.299,
1602054000,07/10/2020,101.459,
1602140400,08/10/2020,101.797,
1602226800,09/10/2020,101.923,
1602486000,12/10/2020,102.13,
1602572400,13/10/2020,102.125,
1602658800,14/10/2020,102.135,
1602745200,15/10/2020,102.13,
1602831600,16/10/2020,102.004,
1603090800,19/10/2020,102.1,
1603177200,20/10/2020,102.001,
1603263600,21/10/2020,102.056,
1603350000,22/10/2020,102.008,
1603436400,23/10/2020,101.759,
1603699200,26/10/2020,101.686,
1603785600,27/10/2020,101.714,
1603872000,28/10/2020,101.76,
1603958400,29/10/2020,101.52,
1604044800,30/10/2020,101.395,
1604304000,02/11/2020,101.414,
1604390400,03/11/2020,101.493,
1604476800,04/11/2020,101.886,
1604649600,06/11/2020,102.672,
1604908800,09/11/2020,102.615,
1604995200,10/11/2020,102.782,
1605081600,11/11/2020,102.859,
1605168000,12/11/2020,102.862,
1605254400,13/11/2020,102.732,
1605513600,16/11/2020,102.795,
1605600000,17/11/2020,102.762,
1605686400,18/11/2020,102.894,
1605772800,19/11/2020,102.982,
1605859200,20/11/2020,103.065,
1606118400,23/11/2020,103.127,
1606204800,24/11/2020,103.178,
