ISIN,US105756CG37,,
Coupon,6.25,,
Maturity,8 years,,
Start,2023,End,2031
,,,
time,date,close,
1700553600,21/11/2023,98.571999,
1700640000,22/11/2023,99.987,
1700726400,23/11/2023,100.101,
1700812800,24/11/2023,99.901001,
1701072000,27/11/2023,99.890999,
1701158400,28/11/2023,100.461,
1701244800,29/11/2023,101.353,
1701331200,30/11/2023,101.795,
1701417600,01/12/2023,101.62,
1701676800,04/12/2023,102.227,
1701763200,05/12/2023,102.119,
1701849600,06/12/2023,102.332,
1701936000,07/12/2023,102.38,
1702022400,08/12/2023,102.228,
1702281600,11/12/2023,101.742,
1702368000,12/12/2023,101.961,
1702454400,13/12/2023,101.915,
1702540800,14/12/2023,103.644,
1702627200,15/12/2023,104.278,
1702886400,18/12/2023,104.193,
1702972800,19/12/2023,103.886,
1703059200,20/12/2023,103.842,
1703145600,21/12/2023,103.97,
1703232000,22/12/2023,103.945,
1703664000,27/12/2023,103.838,
1703750400,28/12/2023,104.002,
1703836800,29/12/2023,103.841,
1704182400,02/01/2024,103.47,
1704268800,03/01/2024,102.74,
1704355200,04/01/2024,102.366,
1704441600,05/01/2024,102.247,
1704700800,08/01/2024,102.367,
1704787200,09/01/2024,102.586,
1704873600,10/01/2024,102.99,
1704960000,11/01/2024,103.398,
1705046400,12/01/2024,103.802,
1705305600,15/01/2024,104.07,
1705392000,16/01/2024,103.808,
1705478400,17/01/2024,103.537,
1705564800,18/01/2024,103.485,
1705651200,19/01/2024,103.296,
1705910400,22/01/2024,103.075,
1705996800,23/01/2024,102.205,
1706083200,24/01/2024,102.245,
1706169600,25/01/2024,102.079,
1706256000,26/01/2024,102.259,
1706515200,29/01/2024,102.388,
1706601600,30/01/2024,102.666,
1706688000,31/01/2024,102.741,
1706774400,01/02/2024,103.007,
1706860800,02/02/2024,103.751,
1707120000,05/02/2024,102.898,
1707206400,06/02/2024,102.53,
1707292800,07/02/2024,103.233,
1707379200,08/02/2024,103.104,
1707465600,09/02/2024,102.915,
1707724800,12/02/2024,102.864,
1707811200,13/02/2024,102.555,
1707897600,14/02/2024,102.146,
1707984000,15/02/2024,102.326,
1708070400,16/02/2024,102.26,
1708329600,19/02/2024,102.085,
1708416000,20/02/2024,102.072,
1708502400,21/02/2024,101.909,
1708588800,22/02/2024,101.752,
1708934400,26/02/2024,102.077,
1709020800,27/02/2024,101.941,
1709107200,28/02/2024,101.711,
