Date,9M Yield,1 Yr Yield,2 Yr Yield,3 Yr Yield,5 Yr Yield,8 Yr Yield,10 Yr Yield
3/2/2015,13.06%,13.18%,12.97%,12.70%,12.69%,12.51%,12.46%
3/3/2015,13.06%,13.15%,13.02%,12.75%,12.67%,12.56%,12.57%
3/4/2015,13.26%,13.28%,13.14%,12.85%,12.81%,12.68%,12.77%
3/5/2015,13.34%,13.37%,13.24%,12.96%,12.95%,12.80%,12.85%
3/6/2015,13.46%,13.55%,13.49%,13.20%,13.12%,12.94%,12.99%
3/9/2015,13.59%,13.87%,13.95%,13.63%,13.54%,13.36%,13.35%
3/10/2015,13.82%,13.76%,13.71%,13.45%,13.33%,13.13%,13.22%
3/11/2015,13.76%,13.73%,13.70%,13.42%,13.36%,13.16%,13.21%
3/12/2015,13.76%,13.84%,13.84%,13.66%,13.47%,13.39%,13.37%
3/13/2015,13.92%,14.00%,13.85%,13.65%,13.58%,13.39%,13.44%
3/16/2015,13.92%,14.06%,13.93%,13.67%,13.60%,13.41%,13.41%
3/17/2015,13.92%,13.81%,13.76%,13.36%,13.27%,13.05%,13.38%
3/18/2015,13.70%,13.64%,13.65%,13.19%,13.07%,12.90%,13.01%
3/19/2015,13.81%,13.87%,13.78%,13.54%,13.45%,13.26%,13.30%
3/20/2015,13.65%,13.76%,13.47%,13.40%,13.35%,13.18%,13.18%
3/23/2015,13.60%,13.58%,13.58%,13.24%,13.20%,13.05%,13.13%
3/24/2015,13.61%,13.55%,13.56%,13.33%,13.22%,13.08%,13.12%
3/25/2015,13.57%,13.61%,13.54%,13.26%,13.22%,13.07%,13.07%
3/26/2015,13.63%,13.62%,13.55%,13.33%,13.30%,13.15%,13.22%
3/27/2015,13.67%,13.68%,13.60%,13.44%,13.40%,13.22%,13.23%
3/30/2015,13.62%,13.65%,13.59%,13.39%,13.35%,13.16%,13.12%
3/31/2015,13.53%,13.51%,13.48%,13.21%,13.17%,12.99%,13.05%
4/1/2015,13.37%,13.38%,13.36%,13.08%,13.04%,12.87%,12.84%
4/2/2015,13.33%,13.37%,13.16%,13.10%,13.05%,12.85%,12.94%
4/3/2015,13.33%,13.38%,13.27%,13.10%,13.03%,12.86%,12.85%
4/6/2015,13.33%,13.34%,13.11%,13.06%,13.01%,12.82%,12.74%
4/7/2015,13.30%,13.29%,13.07%,13.01%,12.98%,12.78%,12.76%
4/8/2015,13.13%,13.17%,12.87%,12.81%,12.59%,12.52%,12.53%
4/9/2015,13.25%,13.32%,13.00%,12.97%,12.68%,12.62%,12.65%
4/10/2015,13.21%,13.33%,12.90%,12.87%,12.55%,12.50%,12.54%
4/13/2015,13.26%,13.35%,13.29%,12.93%,12.69%,12.62%,12.61%
4/14/2015,13.20%,13.31%,12.85%,12.78%,12.54%,12.48%,12.48%
4/15/2015,13.20%,13.31%,12.83%,12.77%,12.51%,12.47%,12.46%
4/16/2015,13.28%,13.38%,12.91%,12.84%,12.62%,12.58%,12.56%
4/17/2015,13.41%,13.48%,13.08%,13.02%,12.70%,12.62%,12.61%
4/20/2015,13.51%,13.56%,13.18%,13.15%,12.73%,12.65%,12.66%
4/21/2015,13.52%,13.56%,13.17%,13.12%,12.71%,12.62%,12.66%
4/22/2015,13.50%,13.61%,13.14%,13.08%,12.67%,12.61%,12.59%
4/23/2015,13.54%,13.62%,13.18%,13.15%,12.70%,12.64%,12.69%
4/24/2015,13.58%,13.63%,13.23%,13.17%,12.74%,12.67%,12.63%
4/27/2015,13.47%,13.57%,13.09%,13.02%,12.67%,12.59%,12.58%
4/28/2015,13.49%,13.54%,13.09%,13.03%,12.69%,12.64%,12.62%
4/29/2015,13.53%,13.55%,13.29%,13.00%,12.69%,12.66%,12.67%
4/30/2015,13.72%,13.70%,13.30%,13.27%,12.93%,12.87%,12.79%
5/1/2015,13.73%,13.75%,13.53%,13.21%,12.86%,12.83%,12.80%
5/4/2015,13.73%,13.79%,13.35%,13.28%,12.97%,12.90%,12.85%
5/5/2015,13.69%,13.73%,13.31%,13.28%,12.96%,12.91%,12.86%
5/6/2015,13.70%,13.74%,13.73%,13.24%,13.01%,12.96%,12.95%
5/7/2015,13.83%,13.83%,13.83%,13.33%,12.99%,12.92%,12.98%
5/8/2015,13.76%,13.82%,13.82%,13.16%,12.78%,12.71%,12.74%
5/11/2015,13.79%,13.83%,13.82%,13.22%,12.84%,12.77%,12.76%
5/12/2015,13.79%,13.85%,13.83%,13.23%,12.87%,12.81%,12.84%
5/13/2015,13.80%,13.83%,13.83%,13.17%,12.82%,12.75%,12.70%
5/14/2015,13.76%,13.84%,13.82%,13.09%,12.74%,12.67%,12.73%
5/15/2015,13.71%,13.77%,13.78%,12.97%,12.60%,12.51%,12.53%
5/18/2015,13.77%,13.80%,13.83%,13.15%,12.69%,12.62%,12.53%
5/19/2015,13.78%,13.87%,13.51%,13.01%,12.62%,12.54%,12.58%
5/20/2015,13.70%,13.83%,13.42%,12.93%,12.50%,12.43%,12.46%
5/21/2015,13.66%,13.82%,13.39%,12.85%,12.43%,12.35%,12.43%
5/22/2015,13.70%,13.87%,12.95%,12.87%,12.39%,12.29%,12.35%
5/25/2015,13.66%,13.77%,13.30%,12.83%,12.42%,12.33%,12.27%
5/26/2015,13.69%,13.81%,13.39%,12.85%,12.43%,12.34%,12.37%
5/27/2015,13.68%,13.80%,13.38%,12.90%,12.52%,12.43%,12.45%
5/28/2015,13.69%,13.80%,13.34%,12.86%,12.45%,12.35%,12.28%
5/29/2015,13.73%,13.85%,13.32%,12.87%,12.38%,12.29%,12.25%
6/1/2015,13.83%,13.92%,13.39%,12.96%,12.45%,12.37%,12.24%
6/2/2015,13.88%,13.96%,13.51%,13.09%,12.57%,12.49%,12.39%
6/3/2015,13.93%,13.99%,13.59%,13.07%,12.60%,12.52%,12.46%
6/4/2015,13.99%,14.02%,13.61%,13.08%,12.61%,12.54%,12.46%
6/5/2015,14.03%,14.10%,13.71%,13.17%,12.67%,12.63%,12.57%
6/8/2015,13.96%,14.08%,13.58%,13.05%,12.56%,12.47%,12.44%
6/9/2015,14.09%,14.11%,13.60%,13.00%,12.57%,12.48%,12.48%
6/10/2015,14.15%,14.18%,13.71%,13.28%,12.84%,12.74%,12.59%
6/11/2015,14.25%,14.29%,13.90%,13.37%,12.83%,12.72%,12.70%
6/12/2015,14.25%,14.30%,13.92%,13.30%,12.75%,12.65%,12.65%
6/15/2015,14.32%,14.38%,14.03%,13.47%,12.91%,12.80%,12.70%
6/16/2015,14.31%,14.39%,13.98%,13.39%,12.83%,12.72%,12.75%
6/17/2015,14.27%,14.36%,14.03%,13.50%,12.90%,12.77%,12.75%
6/18/2015,14.24%,14.33%,13.93%,13.42%,12.76%,12.62%,12.56%
6/19/2015,14.32%,14.45%,14.18%,13.49%,12.81%,12.65%,12.62%
6/22/2015,14.20%,14.29%,14.22%,13.34%,12.73%,12.60%,12.59%
6/23/2015,14.17%,14.25%,14.19%,13.30%,12.74%,12.62%,12.51%
6/24/2015,14.23%,14.32%,13.96%,13.34%,12.74%,12.60%,12.52%
6/25/2015,14.27%,14.37%,14.06%,13.43%,12.89%,12.75%,12.71%
6/26/2015,14.30%,14.40%,14.08%,13.39%,12.75%,12.61%,12.61%
6/29/2015,14.31%,14.40%,14.29%,13.37%,12.75%,12.62%,12.59%
6/30/2015,14.27%,14.34%,13.97%,13.30%,12.76%,12.63%,12.61%
7/1/2015,14.26%,14.34%,13.99%,13.34%,12.79%,12.66%,12.65%
7/2/2015,14.19%,14.27%,13.87%,13.18%,12.70%,12.61%,12.60%
7/3/2015,14.14%,14.20%,13.74%,13.08%,12.66%,12.58%,12.51%
7/6/2015,14.17%,14.22%,13.77%,13.11%,12.72%,12.64%,12.60%
7/7/2015,14.19%,14.25%,13.85%,13.12%,12.76%,12.70%,12.69%
7/8/2015,14.08%,14.13%,13.69%,13.08%,12.75%,12.69%,12.62%
7/9/2015,14.09%,14.14%,13.70%,13.08%,12.76%,12.68%,12.64%
7/10/2015,14.06%,14.11%,13.65%,13.00%,12.70%,12.64%,12.64%
7/13/2015,14.05%,14.09%,13.62%,12.99%,12.71%,12.64%,12.64%
7/14/2015,14.06%,14.08%,13.56%,12.94%,12.66%,12.61%,12.56%
7/15/2015,14.06%,14.10%,13.57%,12.94%,12.63%,12.56%,12.58%
7/16/2015,14.07%,14.09%,13.60%,13.02%,12.72%,12.65%,12.57%
7/17/2015,14.06%,14.08%,13.51%,12.93%,12.70%,12.65%,12.64%
7/20/2015,14.02%,14.01%,13.37%,12.79%,12.60%,12.55%,12.52%
7/21/2015,13.99%,14.00%,13.36%,12.70%,12.40%,12.33%,12.40%
7/22/2015,13.98%,13.97%,13.33%,12.77%,12.56%,12.51%,12.42%
7/23/2015,14.07%,14.10%,13.56%,13.20%,13.03%,13.01%,12.47%
7/24/2015,14.25%,14.31%,13.56%,13.41%,13.14%,13.15%,13.23%
7/27/2015,14.30%,14.36%,13.94%,13.40%,13.06%,13.07%,13.08%
7/28/2015,14.28%,14.35%,13.92%,13.49%,13.14%,13.03%,13.06%
7/29/2015,14.29%,14.32%,13.86%,13.39%,13.11%,13.02%,13.03%
7/30/2015,14.19%,14.17%,13.53%,13.05%,12.94%,12.95%,12.98%
7/31/2015,14.19%,14.15%,13.45%,12.96%,12.87%,12.91%,12.94%
8/3/2015,14.22%,14.20%,13.54%,13.12%,13.05%,13.04%,13.07%
8/4/2015,14.27%,14.28%,13.69%,13.19%,13.14%,13.24%,13.26%
8/5/2015,14.26%,14.28%,13.74%,13.37%,13.23%,13.29%,13.32%
8/6/2015,14.39%,14.46%,14.15%,13.90%,13.79%,13.36%,13.77%
8/7/2015,14.45%,14.56%,14.49%,14.07%,13.90%,13.36%,13.78%
8/10/2015,14.39%,14.49%,14.40%,13.88%,13.72%,13.29%,13.74%
8/11/2015,14.36%,14.44%,14.32%,13.78%,13.70%,13.29%,13.70%
8/12/2015,14.24%,14.30%,13.90%,13.54%,13.44%,13.55%,13.53%
8/13/2015,14.28%,14.36%,14.02%,13.65%,13.52%,13.59%,13.56%
8/14/2015,14.25%,14.30%,13.89%,13.58%,13.50%,13.51%,13.47%
8/17/2015,14.25%,14.30%,13.86%,13.66%,13.62%,13.60%,13.57%
8/18/2015,14.26%,14.33%,13.90%,13.59%,13.57%,13.68%,13.66%
8/19/2015,14.23%,14.27%,13.84%,13.60%,13.64%,13.73%,13.74%
8/20/2015,14.20%,14.22%,13.74%,13.50%,13.63%,13.77%,13.79%
8/21/2015,14.21%,14.25%,13.85%,13.59%,13.67%,13.85%,13.88%
8/24/2015,14.24%,14.34%,14.27%,13.92%,13.93%,14.05%,14.14%
8/25/2015,14.22%,14.30%,14.27%,13.98%,13.96%,14.05%,14.13%
8/26/2015,14.33%,14.30%,14.10%,14.06%,13.89%,14.07%,14.16%
8/27/2015,14.33%,14.23%,13.84%,13.77%,13.77%,13.85%,13.91%
8/28/2015,14.33%,14.18%,13.82%,13.81%,13.74%,13.91%,13.79%
8/31/2015,14.41%,14.38%,14.33%,14.17%,14.18%,13.86%,14.27%
9/1/2015,14.43%,14.45%,14.30%,14.27%,14.40%,14.29%,14.32%
9/2/2015,14.67%,14.86%,14.64%,14.82%,14.81%,14.66%,14.79%
9/3/2015,14.61%,14.87%,15.01%,14.90%,14.63%,14.87%,14.93%
9/4/2015,14.65%,14.95%,14.91%,14.89%,14.98%,14.90%,14.93%
9/7/2015,14.85%,14.95%,14.91%,14.89%,15.10%,15.15%,15.17%
9/8/2015,14.76%,15.01%,14.82%,14.85%,14.79%,14.81%,14.86%
9/9/2015,14.70%,14.89%,14.91%,14.85%,14.85%,14.84%,14.87%
9/10/2015,15.01%,15.33%,14.90%,15.28%,15.27%,15.28%,15.34%
9/11/2015,14.85%,15.21%,15.25%,15.23%,15.21%,15.27%,15.33%
9/14/2015,14.84%,15.11%,15.13%,15.15%,15.13%,15.21%,15.22%
9/15/2015,14.75%,15.07%,15.14%,15.15%,15.18%,15.21%,15.26%
9/16/2015,14.68%,14.94%,15.05%,15.06%,15.15%,15.11%,15.14%
9/17/2015,14.83%,15.24%,15.27%,15.42%,15.37%,15.42%,15.46%
9/18/2015,14.75%,15.15%,15.27%,15.41%,15.74%,15.41%,15.45%
9/21/2015,15.09%,15.63%,15.88%,15.51%,15.97%,16.15%,16.22%
9/22/2015,15.02%,15.72%,16.04%,15.51%,16.20%,16.18%,16.17%
9/23/2015,15.07%,15.83%,16.37%,16.44%,16.66%,16.43%,16.43%
9/24/2015,15.58%,16.27%,17.31%,16.42%,16.83%,16.79%,16.76%
9/25/2015,15.13%,15.70%,15.83%,16.07%,15.90%,16.79%,16.76%
9/28/2015,15.12%,15.57%,16.02%,16.09%,16.15%,15.91%,16.76%
9/29/2015,15.45%,15.96%,17.04%,16.63%,16.16%,16.42%,16.82%
9/30/2015,15.04%,15.60%,15.95%,15.97%,15.80%,16.42%,15.65%
10/1/2015,15.12%,15.55%,15.81%,15.92%,15.72%,16.42%,15.49%
10/2/2015,15.03%,15.48%,15.81%,15.64%,15.23%,16.42%,15.25%
10/5/2015,14.94%,15.34%,15.64%,15.55%,15.22%,16.42%,15.37%
10/6/2015,14.86%,15.21%,15.62%,15.48%,15.29%,16.42%,15.28%
10/7/2015,14.84%,15.22%,15.44%,15.47%,15.48%,16.42%,15.21%
10/8/2015,14.86%,15.31%,15.44%,15.61%,15.33%,15.32%,15.35%
10/9/2015,14.80%,15.25%,15.50%,15.71%,15.56%,15.50%,15.55%
10/12/2015,14.83%,15.43%,15.50%,15.71%,15.67%,15.68%,15.68%
10/13/2015,14.89%,15.56%,16.03%,16.10%,15.95%,15.89%,15.95%
10/14/2015,14.90%,15.58%,16.15%,16.24%,16.04%,16.03%,16.03%
10/15/2015,14.79%,15.31%,15.82%,15.99%,15.78%,15.85%,15.90%
10/16/2015,14.71%,15.26%,15.69%,15.83%,15.82%,15.78%,15.81%
10/19/2015,14.72%,15.32%,15.84%,15.98%,15.85%,15.84%,15.84%
10/20/2015,14.67%,15.17%,15.70%,15.87%,15.78%,15.78%,15.74%
10/21/2015,14.76%,15.31%,15.70%,16.08%,15.81%,15.85%,15.82%
10/22/2015,14.56%,15.14%,15.65%,15.89%,15.75%,15.72%,15.78%
10/23/2015,14.61%,15.23%,15.78%,15.98%,15.92%,15.94%,15.93%
10/26/2015,14.55%,15.12%,15.72%,15.87%,15.90%,15.81%,15.82%
10/28/2015,14.61%,15.23%,15.55%,15.76%,15.82%,15.83%,15.83%
